id,school_name,city,x_frpm,y_greenery_index
43694350102616,Carolyn A. Clark Elementary,San Jose,0.183,0.4353610911198591
43694356047120,Cadwallader Elementary,San Jose,0.433,0.4788549260593642
43694356047138,Evergreen Elementary,San Jose,0.153,0.4608115043122165
43694356047146,Holly Oak Elementary,San Jose,0.537,0.3673015714261744
43694356047153,Katherine R. Smith Elementary,San Jose,0.737,0.2605720186052171
43694356047161,O. B. Whaley Elementary,San Jose,0.679,0.4115508841485242
43694356047179,Quimby Oak Middle,San Jose,0.305,0.3695387303871103
43694356067193,Cedar Grove Elementary,San Jose,0.483,0.3543676230790457
43694356085690,George V. LeyVa Intermediate,San Jose,0.617,0.3056188461484827
43694356095988,John J. Montgomery Elementary,San Jose,0.589,0.4941161990934681
43694356102081,Norwood Creek Elementary,San Jose,0.27,0.5013685159112192
43694356105787,Millbrook Elementary,San Jose,0.308,0.4620520841617612
43694356110159,Chaboya Middle,San Jose,0.1639999999999999,0.575106257310858
43694356111942,Silver Oak Elementary,San Jose,0.087,0.7842075074790497
43694356115851,Tom Matsumoto Elementary,San Jose,0.133,0.438000442321913
43694356117956,James Franklin Smith Elementary,San Jose,0.1009999999999999,0.5403730589598035
43694500127225,College Connection Academy,San Jose,0.653,0.3951618520245885
43694506047195,Franklin Elementary,San Jose,0.8079999999999999,0.2672015386160093
43694506047211,Captain Jason M. Dahl Elementary,San Jose,0.856,0.4401574718778413
43694506047229,Bridges Academy,San Jose,0.894,0.4476464425692135
43694506047237,G. W. Hellyer Elementary,San Jose,0.789,0.3624328597049362
43694506047245,Jeanne R. Meadows Elementary,San Jose,0.8109999999999999,0.3704857737217897
43694506047252,Santee Elementary,San Jose,0.899,0.3716351810198235
43694506047260,Lairon College Preparatory Academy,San Jose,0.818,0.4314016028213027
43694506047278,Sylvandale Middle,San Jose,0.745,0.4208387654774074
43694506067201,Robert F. Kennedy Elementary,San Jose,0.903,0.263537193591246
43694506071542,Stonegate Elementary,San Jose,0.76,0.3321838187872336
43694506105795,Windmill Springs Elementary,San Jose,0.747,0.3750288201024015
43694506115943,"Shirakawa (George, Sr.) Elementary",San Jose,0.8270000000000001,0.9512496034549774
43694684331799,Cupertino High,Cupertino,0.102,0.54198278631614
43694684332474,Fremont High,Sunnyvale,0.237,0.2615860096624203
43694684333316,Homestead High,Cupertino,0.159,0.2023805881406029
43694684334421,Lynbrook High,San Jose,0.065,0.5048586571905712
43694684334462,Monta Vista High,Cupertino,0.06,0.4074340153627545
43694840100990,Solorsano Middle,Gilroy,0.489,0.3425885585985446
43694840114496,Dr. TJ Owens Gilroy Early College Academy,Gilroy,0.3979999999999999,0.5722591722429151
43694840118380,Christopher High,Gilroy,0.38,0.3365471322077691
43694844332839,Gilroy High,Gilroy,0.512,0.534881129609835
